UncalAccel,elapsedRealtimeNanos,utcTimeMillis,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
UAcc,165469401896062,1684642343620,1.1913266,0.5632106,9.645767,0.0,0.0,0.0
UAcc,165469404353198,1684642343623,1.1961123,0.3789633,9.322736,0.0,0.0,0.0
UAcc,165469406708510,1684642343625,1.1338989,0.32153556,9.368199,0.0,0.0,0.0
UAcc,165469409312104,1684642343627,1.0190433,0.40528435,9.387342,0.0,0.0,0.0
UAcc,165469410727989,1684642343629,0.8491529,0.5560322,9.492626,0.0,0.0,0.0
UAcc,165469413427312,1684642343632,0.48065826,0.63978094,9.126525,0.0,0.0,0.0
UAcc,165469415776375,1684642343634,0.1480559,0.5632106,8.626425,0.0,0.0,0.0
UAcc,165469418998666,1684642343637,0.035593238,0.21385853,8.580961,0.0,0.0,0.0
UAcc,165469420350958,1684642343639,-0.16061822,0.2545365,8.8681,0.0,0.0,0.0
UAcc,165469423233666,1684642343641,-0.18693927,0.34067813,9.466306,0.0,0.0,0.0
UAcc,165469425865958,1684642343644,0.24137598,0.34546378,10.3014,0.0,0.0,0.0
UAcc,165469429260281,1684642343647,0.7821539,0.3909274,10.808679,0.0,0.0,0.0
UAcc,165469432053406,1684642343650,1.0980065,0.44117668,10.789536,0.0,0.0,0.0
UAcc,165469433811427,1684642343652,1.1697912,0.5919245,10.782358,0.0,0.0,0.0
UAcc,165469436346271,1684642343655,1.0788639,0.6876374,10.47847,0.0,0.0,0.0
UAcc,165469439641739,1684642343658,1.1913266,0.6732805,10.11476,0.0,0.0,0.0
UAcc,165469440765229,1684642343659,1.3660027,0.7091728,9.849157,0.0,0.0,0.0
UAcc,165469442811948,1684642343661,1.6770695,0.46031925,9.569197,0.0,0.0,0.0
UAcc,165469446320125,1684642343664,1.7871394,0.4339982,9.533304,0.0,0.0,0.0
UAcc,165469450308146,1684642343668,1.5454643,0.5273183,9.975977,0.0,0.0,0.0
UAcc,165469451153979,1684642343669,1.2415758,0.733101,10.377971,0.0,0.0,0.0
UAcc,165469452809812,1684642343671,0.83718884,0.8647063,10.425827,0.0,0.0,0.0
UAcc,165469456329500,1684642343675,0.27008986,0.881456,10.07169,0.0,0.0,0.0
UAcc,165469459019969,1684642343677,-0.18693927,0.90538424,9.717552,0.0,0.0,0.0
UAcc,165469459940125,1684642343678,-0.33290145,0.6206384,9.779765,0.0,0.0,0.0
UAcc,165469463020489,1684642343681,-0.33290145,0.50817573,9.97837,0.0,0.0,0.0
UAcc,165469465984239,1684642343684,-0.024227329,0.41964126,10.27508,0.0,0.0,0.0
UAcc,165469469165229,1684642343687,0.45912284,0.37657046,10.322936,0.0,0.0,0.0
UAcc,165469470057521,1684642343688,0.8706883,0.40289152,9.904192,0.0,0.0,0.0
UAcc,165469474060594,1684642343692,1.2870395,0.35264224,9.495019,0.0,0.0,0.0
UAcc,165469475573354,1684642343694,1.3588241,0.42921257,8.973384,0.0,0.0,0.0
UAcc,165469479303823,1684642343697,1.2726825,0.5273183,8.356036,0.0,0.0,0.0
UAcc,165469480460489,1684642343699,1.2032907,0.46031925,8.27468,0.0,0.0,0.0
UAcc,165469482758666,1684642343701,1.3492528,0.39332023,8.542676,0.0,0.0,0.0
UAcc,165469485843302,1684642343704,1.3420744,0.46749774,9.040383,0.0,0.0,0.0
UAcc,165469488352833,1684642343707,1.2487543,0.63978094,9.640982,0.0,0.0,0.0
UAcc,165469489985698,1684642343708,1.1458629,0.8862417,10.330114,0.0,0.0,0.0
UAcc,165469492372833,1684642343711,0.7582257,1.0633105,10.693824,0.0,0.0,0.0
UAcc,165469495913041,1684642343714,0.37776688,1.1015958,10.746466,0.0,0.0,0.0
UAcc,165469497575646,1684642343716,0.24616162,1.0609177,10.70818,0.0,0.0,0.0
UAcc,165469499656062,1684642343718,0.25812575,0.8742776,10.880464,0.0,0.0,0.0
UAcc,165469502236739,1684642343720,0.5452645,0.9269197,11.52174,0.0,0.0,0.0
UAcc,165469506014344,1684642343724,1.1267203,0.7689934,12.1917305,0.0,0.0,0.0
UAcc,165469507526844,1684642343726,1.4042878,0.75463647,11.825628,0.0,0.0,0.0
UAcc,165469510099344,1684642343728,1.5550356,0.73788667,11.22503,0.0,0.0,0.0
UAcc,165469512067833,1684642343730,1.4162519,0.7929216,10.248758,0.0,0.0,0.0
UAcc,165469516055802,1684642343734,1.1937194,0.68524456,8.978169,0.0,0.0,0.0
UAcc,165469517143875,1684642343735,0.9376874,0.5608178,8.231609,0.0,0.0,0.0
UAcc,165469519720594,1684642343738,1.0214362,0.1468595,7.7650084,0.0,0.0,0.0
UAcc,165469522009291,1684642343740,0.95682997,-0.05892326,7.305587,0.0,0.0,0.0
UAcc,165469524895073,1684642343743,0.86111706,-0.3173481,7.446763,0.0,0.0,0.0
